# h00,h01,h02,h10,h11,h12,h20,h21,h22
-4.060729593038558960e-02,2.670873887836933136e-02,7.074391469359397888e-03,-1.409456599503755569e-02,8.508674800395965576e-02,4.838109388947486877e-02,-2.836908586323261261e-02,-1.797008677385747433e-03,3.486777096986770630e-02
-7.749744225293397903e-03,3.544138045981526375e-03,3.649925813078880310e-02,-5.419558379799127579e-03,3.098156489431858063e-02,5.112619325518608093e-02,1.540221087634563446e-02,2.589166536927223206e-02,1.865945197641849518e-02
3.605935722589492798e-03,2.251423336565494537e-02,3.385738655924797058e-02,-5.567070329561829567e-04,3.516128286719322205e-02,1.383226271718740463e-02,5.187166109681129456e-02,4.586345702409744263e-02,3.935632854700088501e-02
-5.784433335065841675e-02,3.011399507522583008e-02,-4.012889415025711060e-02,2.146831713616847992e-02,1.455844342708587646e-01,-2.884594956412911415e-03,-6.587147712707519531e-02,-1.893473975360393524e-02,-3.966736420989036560e-02
-4.421949386596679688e-03,1.996496459469199181e-03,-2.387567795813083649e-02,2.334839478135108948e-02,-5.755016580224037170e-02,-1.626428402960300446e-02,3.450606390833854675e-02,1.439198758453130722e-02,-8.822059258818626404e-03
-5.550667925291463689e-09,3.978661400338978638e-09,1.045646502717545445e-08,8.752267355305320962e-09,2.268820153972228582e-08,1.837932650516904687e-08,-1.726944032220956160e-09,1.544563943411958462e-08,1.690396622677781124e-08
-6.571546941995620728e-02,-2.065338194370269775e-02,-4.651093482971191406e-02,-4.676254093647003174e-02,8.778080344200134277e-02,3.353870287537574768e-02,-6.545905768871307373e-02,3.252370655536651611e-02,-3.004302270710468292e-02
-8.089378944475811295e-09,-1.222925205546232519e-09,4.716177670616161777e-09,-1.278733208209814620e-08,6.836845756197362789e-09,-4.582770829486548791e-10,-6.057417234472950440e-09,-6.731937229886852947e-10,8.434168918824980210e-09
5.161613225936889648e-03,1.820424385368824005e-02,-1.069624815136194229e-02,-4.065760597586631775e-02,2.313549071550369263e-02,-1.608459465205669403e-02,1.273570023477077484e-02,7.565368432551622391e-03,-1.498508732765913010e-02
-9.453158127143979073e-04,-1.252991426736116409e-02,3.348512575030326843e-03,4.885111004114151001e-02,3.897795081138610840e-02,-9.482520632445812225e-03,-1.830876339226961136e-03,6.803455296903848648e-03,-4.222160950303077698e-02
-2.449965290725231171e-02,-3.890404477715492249e-02,5.094496905803680420e-02,3.834048286080360413e-02,-6.230849400162696838e-02,5.273253098130226135e-02,1.102070603519678116e-02,-8.445521444082260132e-02,9.217860549688339233e-02
1.939661055803298950e-02,2.267028950154781342e-02,-6.078523397445678711e-02,-4.545891657471656799e-02,1.269159000366926193e-02,1.251012086868286133e-02,3.918398171663284302e-02,3.629010543227195740e-02,5.786004476249217987e-04
4.376297071576118469e-02,-8.860350586473941803e-03,-3.052477026358246803e-03,-1.387843936681747437e-01,1.260574609041213989e-01,1.098421812057495117e-01,-2.974653057754039764e-02,9.427476674318313599e-02,-8.164290338754653931e-02
